device,date,hour,power,current,voltage,energy,isOn
bulb,12/7/2025,20,37.59,6.57,7.17,0.01092,True
bulb,12/7/2025,21,37.2,6.49,8.78,0.0058,True
bulb,12/7/2025,22,34.18,6.31,6.28,0.00409,True
bulb,12/7/2025,23,38.74,5.98,5.8,0.008,True
bulb,12/6/2025,0,40.99,6.14,8.51,0.0044,True
bulb,12/6/2025,1,41.45,6.37,5.74,0.00736,True
bulb,12/6/2025,2,42.19,6.36,8.75,0.01099,True
bulb,12/6/2025,3,37.38,6.37,7.9,0.01071,True
bulb,12/6/2025,4,40.0,5.96,8.67,0.01238,True
bulb,12/6/2025,5,33.64,6.3,8.32,0.00467,True
bulb,12/6/2025,6,36.13,6.17,5.35,0.00848,True
bulb,12/6/2025,7,34.69,6.68,6.9,0.0065,True
bulb,12/6/2025,8,41.08,6.83,5.99,0.01381,True
bulb,12/6/2025,9,36.0,6.81,5.24,0.00823,True
bulb,12/6/2025,10,33.8,6.7,7.1,0.00492,True
bulb,12/6/2025,11,41.61,6.82,7.93,0.01121,True
bulb,12/6/2025,12,32.38,6.68,8.59,0.00652,True
bulb,12/6/2025,13,33.82,5.92,8.66,0.01388,True
bulb,12/6/2025,14,41.64,6.45,7.2,0.00968,True
bulb,12/6/2025,15,41.33,6.11,5.03,0.01207,True
bulb,12/6/2025,16,32.98,6.5,8.29,0.0045,True
bulb,12/6/2025,17,37.2,6.83,5.5,0.01105,True
bulb,12/6/2025,18,38.94,6.86,8.58,0.01193,True
bulb,12/6/2025,19,39.38,6.58,8.02,0.0127,True
bulb,12/6/2025,20,32.97,6.79,6.99,0.01008,True
bulb,12/6/2025,21,35.65,6.54,5.79,0.00641,True
bulb,12/6/2025,22,40.18,6.36,6.84,0.00987,True
bulb,12/6/2025,23,35.99,6.48,6.94,0.00992,True
bulb,12/5/2025,0,32.37,6.5,7.0,0.01037,True
bulb,12/5/2025,1,37.88,6.61,8.34,0.00742,True
bulb,12/5/2025,2,40.58,6.87,5.41,0.00649,True
bulb,12/5/2025,3,38.65,6.23,6.27,0.00572,True
bulb,12/5/2025,4,34.05,6.03,7.35,0.00959,True
bulb,12/5/2025,5,38.07,6.68,6.82,0.00597,True
bulb,12/5/2025,6,41.41,6.51,7.53,0.01094,True
bulb,12/5/2025,7,36.89,6.6,5.35,0.01175,True
bulb,12/5/2025,8,33.61,6.59,6.81,0.0096,True
bulb,12/5/2025,9,34.03,6.2,6.44,0.0095,True
bulb,12/5/2025,10,38.6,6.48,8.12,0.00501,True
bulb,12/5/2025,11,41.4,6.8,5.76,0.00831,True
bulb,12/5/2025,12,38.54,6.52,7.74,0.01132,True
bulb,12/5/2025,13,38.89,6.56,7.89,0.00845,True
bulb,12/5/2025,14,37.81,6.81,6.39,0.00897,True
bulb,12/5/2025,15,36.06,6.81,7.56,0.0106,True
bulb,12/5/2025,16,32.36,6.38,7.53,0.01057,True
bulb,12/5/2025,17,33.74,6.78,5.2,0.00592,True
bulb,12/5/2025,18,41.72,6.67,7.19,0.00431,True
bulb,12/5/2025,19,38.64,5.95,6.06,0.01289,True
bulb,12/5/2025,20,37.0,6.05,7.48,0.01205,True
bulb,12/5/2025,21,32.39,6.13,7.93,0.00831,True
bulb,12/5/2025,22,42.14,6.06,7.07,0.00867,True
bulb,12/5/2025,23,41.73,5.9,5.38,0.01014,True
bulb,12/4/2025,0,33.43,5.98,5.16,0.00521,True
bulb,12/4/2025,1,36.45,6.34,4.99,0.01144,True
bulb,12/4/2025,2,35.66,6.21,7.28,0.01173,True
bulb,12/4/2025,3,40.51,6.07,8.79,0.0048,True
bulb,12/4/2025,4,32.56,6.28,7.27,0.01045,True
bulb,12/4/2025,5,35.09,5.99,5.25,0.00662,True
bulb,12/4/2025,6,40.07,6.46,7.6,0.00869,True
bulb,12/4/2025,7,32.89,6.78,5.74,0.01322,True
bulb,12/4/2025,8,34.42,6.2,6.69,0.00802,True
bulb,12/4/2025,9,39.26,6.34,8.71,0.00443,True
bulb,12/4/2025,10,39.05,5.96,7.14,0.01163,True
bulb,12/4/2025,11,36.56,6.76,7.77,0.009,True
bulb,12/4/2025,12,42.04,6.76,6.71,0.00469,True
bulb,12/4/2025,13,41.17,6.43,7.62,0.01185,True
bulb,12/4/2025,14,35.86,6.39,8.51,0.00758,True
bulb,12/4/2025,15,40.8,6.73,6.67,0.00986,True
bulb,12/4/2025,16,41.33,6.06,8.13,0.00512,True
bulb,12/4/2025,17,38.34,6.77,5.77,0.01292,True
bulb,12/4/2025,18,40.4,6.74,5.12,0.01241,True
bulb,12/4/2025,19,41.67,6.66,7.15,0.00451,True
bulb,12/4/2025,20,37.17,6.16,6.29,0.00549,True
bulb,12/4/2025,21,33.76,6.38,8.15,0.01085,True
bulb,12/4/2025,22,41.34,6.15,6.19,0.01008,True
bulb,12/4/2025,23,36.78,6.41,6.68,0.01142,True
bulb,12/3/2025,0,35.89,6.85,7.66,0.0116,True
bulb,12/3/2025,1,39.76,6.78,7.11,0.01194,True
bulb,12/3/2025,2,37.3,6.53,6.31,0.01196,True
bulb,12/3/2025,3,41.12,6.75,8.62,0.01022,True
bulb,12/3/2025,4,35.85,6.21,7.25,0.00574,True
bulb,12/3/2025,5,34.21,6.57,8.24,0.0128,True
bulb,12/3/2025,6,32.35,6.73,6.59,0.00711,True
bulb,12/3/2025,7,41.78,6.36,7.51,0.01297,True
bulb,12/3/2025,8,35.96,6.71,8.2,0.00468,True
bulb,12/3/2025,9,35.91,6.35,5.75,0.01262,True
bulb,12/3/2025,10,41.76,6.23,7.35,0.00562,True
bulb,12/3/2025,11,37.6,6.27,6.21,0.00482,True
bulb,12/3/2025,12,32.75,6.13,8.13,0.00423,True
bulb,12/3/2025,13,40.23,6.47,6.02,0.00846,True
bulb,12/3/2025,14,36.57,6.66,5.87,0.00514,True
bulb,12/3/2025,15,34.02,6.51,7.64,0.00881,True
bulb,12/3/2025,16,32.43,6.59,6.41,0.00514,True
bulb,12/3/2025,17,37.79,6.57,5.6,0.00989,True
bulb,12/3/2025,18,32.82,5.97,7.77,0.00885,True
bulb,12/3/2025,19,41.78,6.69,8.79,0.01139,True
bulb,12/3/2025,20,39.73,6.54,6.56,0.01116,True
bulb,12/3/2025,21,33.58,6.22,7.09,0.01396,True
bulb,12/3/2025,22,40.79,6.33,6.62,0.01277,True
bulb,12/3/2025,23,37.27,6.01,8.1,0.00845,True
bulb,12/2/2025,0,32.85,6.64,8.93,0.00439,True
bulb,12/2/2025,1,35.59,5.93,6.8,0.00611,True
bulb,12/2/2025,2,41.26,6.82,5.43,0.01325,True
bulb,12/2/2025,3,33.99,6.58,6.56,0.01031,True
bulb,12/2/2025,4,37.41,6.8,6.21,0.00933,True
bulb,12/2/2025,5,36.8,6.49,6.83,0.0053,True
bulb,12/2/2025,6,38.61,6.24,4.99,0.0057,True
bulb,12/2/2025,7,39.47,6.46,6.63,0.00996,True
bulb,12/2/2025,8,34.83,6.66,6.65,0.0099,True
bulb,12/2/2025,9,36.62,5.99,8.77,0.00498,True
bulb,12/2/2025,10,32.71,6.71,5.47,0.00874,True
bulb,12/2/2025,11,39.23,6.15,7.48,0.01004,True
bulb,12/2/2025,12,36.19,5.95,8.56,0.01064,True
bulb,12/2/2025,13,37.25,6.48,8.46,0.01035,True
bulb,12/2/2025,14,33.79,6.34,6.29,0.01197,True
bulb,12/2/2025,15,39.76,6.54,6.28,0.00851,True
bulb,12/2/2025,16,36.37,6.09,8.75,0.00484,True
bulb,12/2/2025,17,33.55,6.08,7.81,0.00713,True
bulb,12/2/2025,18,39.63,6.56,5.84,0.01002,True
bulb,12/2/2025,19,41.73,6.17,6.95,0.00905,True
bulb,12/2/2025,20,39.28,6.4,8.73,0.01076,True
bulb,12/2/2025,21,37.19,6.17,6.37,0.0046,True
bulb,12/2/2025,22,38.77,6.55,6.43,0.01314,True
bulb,12/2/2025,23,38.8,6.23,8.1,0.01063,True
bulb,12/1/2025,0,36.02,6.05,7.79,0.00601,True
bulb,12/1/2025,1,40.22,6.49,7.99,0.00905,True
bulb,12/1/2025,2,39.63,5.91,5.88,0.00824,True
bulb,12/1/2025,3,36.64,6.54,6.87,0.00678,True
bulb,12/1/2025,4,39.16,6.08,8.94,0.00749,True
bulb,12/1/2025,5,38.13,6.23,8.01,0.01283,True
bulb,12/1/2025,6,41.7,6.87,6.71,0.00593,True
bulb,12/1/2025,7,35.94,6.32,5.48,0.00632,True
bulb,12/1/2025,8,41.12,6.24,5.68,0.01206,True
bulb,12/1/2025,9,41.45,6.33,6.28,0.00522,True
bulb,12/1/2025,10,39.59,6.53,7.8,0.01041,True
bulb,12/1/2025,11,41.87,6.53,6.28,0.01014,True
bulb,12/1/2025,12,34.55,6.64,7.61,0.00593,True
bulb,12/1/2025,13,38.1,6.71,7.92,0.00758,True
bulb,12/1/2025,14,40.18,6.21,5.07,0.01327,True
bulb,12/1/2025,15,38.08,6.64,8.65,0.00716,True
bulb,12/1/2025,16,39.89,6.5,5.27,0.0128,True
bulb,12/1/2025,17,32.83,6.17,6.68,0.00997,True
bulb,12/1/2025,18,40.15,6.21,7.68,0.00934,True
bulb,12/1/2025,19,37.51,6.64,8.4,0.00671,True
bulb,12/1/2025,20,41.64,5.91,8.5,0.00626,True
bulb,12/1/2025,21,41.52,6.87,6.2,0.01058,True
bulb,12/1/2025,22,36.98,6.52,8.93,0.00471,True
bulb,12/1/2025,23,34.79,6.31,7.59,0.01396,True
bulb,11/30/2025,0,35.88,5.99,8.23,0.0082,True
bulb,11/30/2025,1,34.91,6.31,5.76,0.0094,True
bulb,11/30/2025,2,35.21,6.09,6.29,0.0083,True
bulb,11/30/2025,3,40.03,6.18,8.14,0.00746,True
bulb,11/30/2025,4,38.76,6.74,7.47,0.00857,True
bulb,11/30/2025,5,34.43,6.21,7.35,0.00825,True
bulb,11/30/2025,6,41.31,6.86,6.86,0.01383,True
bulb,11/30/2025,7,39.06,5.92,5.76,0.00468,True
bulb,11/30/2025,8,36.86,6.04,6.74,0.00669,True
bulb,11/30/2025,9,41.8,5.94,5.96,0.01064,True
bulb,11/30/2025,10,34.63,5.99,8.56,0.00528,True
bulb,11/30/2025,11,35.09,6.45,7.33,0.0055,True
bulb,11/30/2025,12,34.85,5.97,6.74,0.01221,True
bulb,11/30/2025,13,40.07,6.4,7.81,0.00912,True
bulb,11/30/2025,14,33.01,6.73,5.32,0.0076,True
bulb,11/30/2025,15,34.49,6.22,8.02,0.0054,True
bulb,11/30/2025,16,33.56,6.27,6.34,0.00605,True
bulb,11/30/2025,17,34.77,6.34,5.48,0.00783,True
bulb,11/30/2025,18,35.11,6.6,7.32,0.01002,True
bulb,11/30/2025,19,34.55,6.38,7.92,0.00637,True
bulb,11/30/2025,20,39.27,6.76,6.37,0.00522,True
bulb,11/30/2025,21,40.77,6.09,7.89,0.00694,True
bulb,11/30/2025,22,37.14,6.77,8.93,0.00545,True
bulb,11/30/2025,23,40.99,6.19,7.39,0.01189,True
bulb,11/29/2025,0,39.01,6.71,8.62,0.00542,True
bulb,11/29/2025,1,37.37,6.74,8.11,0.01019,True
bulb,11/29/2025,2,38.61,5.97,8.92,0.00901,True
bulb,11/29/2025,3,38.42,6.21,7.66,0.00414,True
bulb,11/29/2025,4,33.74,6.53,7.67,0.01247,True
bulb,11/29/2025,5,39.48,6.23,7.35,0.01252,True
bulb,11/29/2025,6,34.74,6.55,6.8,0.00561,True
bulb,11/29/2025,7,39.99,6.0,7.41,0.00647,True
bulb,11/29/2025,8,37.07,6.01,8.67,0.00805,True
bulb,11/29/2025,9,42.25,6.59,5.85,0.00468,True
bulb,11/29/2025,10,38.73,6.81,8.2,0.00745,True
bulb,11/29/2025,11,34.27,6.71,6.86,0.00439,True
bulb,11/29/2025,12,33.25,6.76,6.44,0.00997,True
bulb,11/29/2025,13,39.35,6.53,6.17,0.01087,True
bulb,11/29/2025,14,37.18,6.68,6.89,0.00735,True
bulb,11/29/2025,15,33.67,5.96,8.38,0.00737,True
bulb,11/29/2025,16,41.57,6.1,8.41,0.01297,True
bulb,11/29/2025,17,35.07,6.58,5.07,0.00734,True
bulb,11/29/2025,18,35.43,5.92,6.31,0.00504,True
bulb,11/29/2025,19,41.19,6.75,5.52,0.01049,True
bulb,11/29/2025,20,32.81,6.51,8.86,0.01365,True
bulb,11/29/2025,21,34.82,6.13,5.39,0.00913,True
bulb,11/29/2025,22,32.92,5.95,8.25,0.01104,True
bulb,11/29/2025,23,41.74,6.12,5.05,0.01077,True
bulb,11/28/2025,0,37.82,6.28,6.12,0.0118,True
bulb,11/28/2025,1,40.45,6.89,8.8,0.00926,True
bulb,11/28/2025,2,34.27,6.69,8.8,0.00574,True
bulb,11/28/2025,3,39.49,6.27,6.22,0.0064,True
bulb,11/28/2025,4,32.47,6.5,7.16,0.00704,True
bulb,11/28/2025,5,33.7,6.56,5.4,0.00902,True
bulb,11/28/2025,6,33.8,5.96,7.05,0.00596,True
bulb,11/28/2025,7,36.95,6.7,6.51,0.01382,True
bulb,11/28/2025,8,40.44,6.36,8.91,0.00548,True
bulb,11/28/2025,9,32.41,6.13,5.33,0.011,True
bulb,11/28/2025,10,34.26,6.58,8.64,0.01339,True
bulb,11/28/2025,11,34.98,6.21,8.48,0.00871,True
bulb,11/28/2025,12,40.85,6.32,8.2,0.0051,True
bulb,11/28/2025,13,33.56,6.66,5.85,0.00961,True
bulb,11/28/2025,14,36.95,6.7,4.97,0.00738,True
bulb,11/28/2025,15,36.6,6.08,5.13,0.01368,True
bulb,11/28/2025,16,39.23,6.8,7.53,0.00754,True
bulb,11/28/2025,17,33.55,6.28,7.66,0.00912,True
bulb,11/28/2025,18,40.13,6.86,8.65,0.01076,True
bulb,11/28/2025,19,37.92,6.23,5.09,0.01046,True
bulb,11/28/2025,20,38.51,5.93,5.6,0.0072,True
bulb,11/28/2025,21,40.69,6.51,6.94,0.01228,True
bulb,11/28/2025,22,37.92,6.13,6.97,0.00924,True
bulb,11/28/2025,23,37.23,6.73,7.01,0.0119,True
bulb,11/27/2025,0,34.32,6.78,6.81,0.00621,True
bulb,11/27/2025,1,39.91,6.58,6.54,0.00854,True
bulb,11/27/2025,2,41.64,6.25,8.52,0.01051,True
bulb,11/27/2025,3,40.33,6.31,6.57,0.01062,True
bulb,11/27/2025,4,41.1,6.51,8.44,0.00607,True
bulb,11/27/2025,5,35.83,6.77,6.62,0.0099,True
bulb,11/27/2025,6,39.48,6.25,6.4,0.01017,True
bulb,11/27/2025,7,37.75,6.43,8.47,0.00807,True
bulb,11/27/2025,8,41.93,6.2,4.98,0.0043,True
bulb,11/27/2025,9,37.38,6.43,7.62,0.0136,True
bulb,11/27/2025,10,39.27,6.73,8.22,0.00713,True
bulb,11/27/2025,11,42.04,6.73,7.46,0.00448,True
bulb,11/27/2025,12,37.71,6.13,6.63,0.01316,True
bulb,11/27/2025,13,38.38,6.8,7.02,0.007,True
bulb,11/27/2025,14,40.83,6.53,6.75,0.01079,True
bulb,11/27/2025,15,39.4,6.35,7.57,0.013,True
bulb,11/27/2025,16,34.49,6.35,6.5,0.01006,True
bulb,11/27/2025,17,34.03,6.86,5.23,0.00456,True
bulb,11/27/2025,18,37.13,6.41,8.66,0.01092,True
bulb,11/27/2025,19,40.69,6.59,6.88,0.01091,True
bulb,11/27/2025,20,39.9,6.75,8.05,0.00847,True
bulb,11/27/2025,21,34.32,6.06,8.91,0.01285,True
bulb,11/27/2025,22,36.83,5.96,7.36,0.0098,True
bulb,11/27/2025,23,37.37,6.23,7.56,0.01335,True
bulb,11/26/2025,0,38.95,6.84,6.9,0.0055,True
bulb,11/26/2025,1,36.44,6.59,7.91,0.00847,True
bulb,11/26/2025,2,40.46,6.85,8.59,0.00709,True
bulb,11/26/2025,3,37.43,5.98,8.37,0.01102,True
bulb,11/26/2025,4,37.82,6.64,7.98,0.00627,True
bulb,11/26/2025,5,41.1,6.29,7.3,0.0076,True
bulb,11/26/2025,6,35.75,5.9,8.46,0.01142,True
bulb,11/26/2025,7,33.19,6.58,8.54,0.00545,True
bulb,11/26/2025,8,40.22,6.64,5.97,0.0087,True
bulb,11/26/2025,9,33.73,5.98,8.5,0.01342,True
bulb,11/26/2025,10,32.48,6.64,5.43,0.00975,True
bulb,11/26/2025,11,41.46,5.9,6.2,0.00924,True
bulb,11/26/2025,12,33.5,6.32,7.37,0.00417,True
bulb,11/26/2025,13,38.52,5.94,6.88,0.00697,True
bulb,11/26/2025,14,36.78,6.59,6.58,0.00696,True
bulb,11/26/2025,15,33.43,6.53,7.8,0.01383,True
bulb,11/26/2025,16,35.07,6.35,8.8,0.00697,True
bulb,11/26/2025,17,37.16,5.9,7.63,0.00862,True
bulb,11/26/2025,18,40.68,6.7,8.01,0.0127,True
bulb,11/26/2025,19,38.65,6.71,5.65,0.01175,True
bulb,11/26/2025,20,38.18,5.91,6.17,0.00532,True
bulb,11/26/2025,21,37.37,5.98,6.43,0.00917,True
bulb,11/26/2025,22,41.28,5.91,8.35,0.00604,True
bulb,11/26/2025,23,33.84,6.16,5.86,0.00478,True
bulb,11/25/2025,0,41.47,6.37,7.39,0.0138,True
bulb,11/25/2025,1,34.0,6.16,7.06,0.00629,True
bulb,11/25/2025,2,36.97,6.04,6.73,0.00488,True
bulb,11/25/2025,3,39.19,6.51,8.35,0.00927,True
bulb,11/25/2025,4,39.16,6.77,8.21,0.00769,True
bulb,11/25/2025,5,38.6,6.62,7.78,0.01098,True
bulb,11/25/2025,6,40.95,6.83,6.39,0.00436,True
bulb,11/25/2025,7,36.3,6.56,6.27,0.008,True
bulb,11/25/2025,8,36.97,6.82,8.24,0.01037,True
bulb,11/25/2025,9,40.05,6.12,6.84,0.00893,True
bulb,11/25/2025,10,40.1,6.14,5.34,0.01057,True
bulb,11/25/2025,11,38.32,6.27,8.85,0.0046,True
bulb,11/25/2025,12,37.56,6.35,7.18,0.00811,True
bulb,11/25/2025,13,41.36,6.25,6.75,0.00585,True
bulb,11/25/2025,14,40.64,6.81,6.49,0.00949,True
bulb,11/25/2025,15,40.54,6.24,7.1,0.0103,True
bulb,11/25/2025,16,38.8,6.54,6.3,0.01146,True
bulb,11/25/2025,17,34.85,6.74,8.89,0.01289,True
bulb,11/25/2025,18,38.91,6.68,5.17,0.00806,True
bulb,11/25/2025,19,37.28,6.2,6.37,0.01278,True
bulb,11/25/2025,20,42.05,6.17,7.16,0.00427,True
bulb,11/25/2025,21,39.69,6.8,6.25,0.01282,True
bulb,11/25/2025,22,36.38,6.35,5.64,0.01019,True
bulb,11/25/2025,23,36.98,6.86,6.63,0.00903,True
bulb,11/24/2025,0,41.54,6.42,7.75,0.01234,True
bulb,11/24/2025,1,40.12,6.43,7.74,0.01345,True
bulb,11/24/2025,2,40.29,6.73,7.38,0.00917,True
bulb,11/24/2025,3,38.73,5.94,6.05,0.00475,True
bulb,11/24/2025,4,39.76,6.87,8.13,0.00807,True
bulb,11/24/2025,5,42.25,6.36,7.43,0.01296,True
bulb,11/24/2025,6,35.73,6.69,8.05,0.00991,True
bulb,11/24/2025,7,34.37,6.79,7.39,0.01387,True
bulb,11/24/2025,8,41.67,6.43,5.25,0.00545,True
bulb,11/24/2025,9,36.01,6.62,5.92,0.01333,True
bulb,11/24/2025,10,38.81,6.18,5.54,0.00706,True
bulb,11/24/2025,11,41.62,6.58,7.79,0.01246,True
bulb,11/24/2025,12,42.05,6.28,7.94,0.01025,True
bulb,11/24/2025,13,41.17,6.78,7.32,0.01077,True
bulb,11/24/2025,14,33.21,5.91,6.45,0.01167,True
bulb,11/24/2025,15,41.8,6.56,6.58,0.01027,True
bulb,11/24/2025,16,34.26,6.68,7.34,0.01241,True
bulb,11/24/2025,17,34.93,6.75,8.74,0.008,True
bulb,11/24/2025,18,42.03,6.03,5.52,0.00928,True
bulb,11/24/2025,19,34.1,6.34,5.24,0.01384,True
bulb,11/24/2025,20,41.17,6.31,6.19,0.01071,True
bulb,11/24/2025,21,36.81,6.71,5.39,0.01287,True
bulb,11/24/2025,22,35.66,5.98,6.77,0.00681,True
bulb,11/24/2025,23,41.83,6.69,6.29,0.00506,True
bulb,11/23/2025,0,37.2,6.71,7.76,0.00989,True
bulb,11/23/2025,1,37.71,6.4,6.17,0.01206,True
bulb,11/23/2025,2,35.73,5.96,7.59,0.0088,True
bulb,11/23/2025,3,39.84,6.56,5.56,0.00766,True
bulb,11/23/2025,4,32.82,6.39,8.83,0.01294,True
bulb,11/23/2025,5,35.43,6.24,5.3,0.00795,True
bulb,11/23/2025,6,35.39,6.23,7.24,0.0108,True
bulb,11/23/2025,7,37.31,6.3,8.1,0.01346,True
bulb,11/23/2025,8,41.44,6.72,5.17,0.00464,True
bulb,11/23/2025,9,36.45,6.26,7.71,0.00813,True
bulb,11/23/2025,10,38.76,6.4,6.4,0.01143,True
bulb,11/23/2025,11,37.38,6.46,6.4,0.0115,True
bulb,11/23/2025,12,38.4,6.63,8.2,0.00914,True
bulb,11/23/2025,13,35.78,6.55,5.39,0.01315,True
bulb,11/23/2025,14,34.71,6.52,6.93,0.01219,True
bulb,11/23/2025,15,39.44,6.65,8.5,0.00538,True
bulb,11/23/2025,16,34.95,6.47,6.52,0.01126,True
bulb,11/23/2025,17,36.55,6.15,8.44,0.00682,True
bulb,11/23/2025,18,41.33,6.29,6.24,0.00976,True
bulb,11/23/2025,19,37.62,6.38,8.64,0.00725,True
bulb,11/23/2025,20,36.34,6.77,8.71,0.00711,True
bulb,11/23/2025,21,39.28,6.36,5.37,0.01153,True
bulb,11/23/2025,22,36.9,6.09,5.37,0.00518,True
bulb,11/23/2025,23,40.14,6.05,8.14,0.00761,True
bulb,11/22/2025,0,36.84,6.02,7.02,0.01361,True
bulb,11/22/2025,1,39.57,6.44,7.58,0.01117,True
bulb,11/22/2025,2,40.75,6.54,7.24,0.00736,True
bulb,11/22/2025,3,35.17,6.47,8.14,0.01078,True
bulb,11/22/2025,4,38.05,6.77,5.07,0.01361,True
bulb,11/22/2025,5,38.27,6.62,8.05,0.00539,True
bulb,11/22/2025,6,34.13,6.17,6.28,0.00904,True
bulb,11/22/2025,7,40.58,6.1,5.94,0.00822,True
bulb,11/22/2025,8,33.55,6.52,5.56,0.01302,True
bulb,11/22/2025,9,38.65,6.21,5.4,0.00819,True
bulb,11/22/2025,10,39.44,6.87,6.71,0.0042,True
bulb,11/22/2025,11,32.6,6.02,8.81,0.00532,True
bulb,11/22/2025,12,42.13,6.63,8.87,0.00875,True
bulb,11/22/2025,13,37.73,5.94,7.49,0.00875,True
bulb,11/22/2025,14,38.57,6.74,7.8,0.01224,True
bulb,11/22/2025,15,39.43,5.91,5.77,0.01193,True
bulb,11/22/2025,16,35.91,6.2,6.64,0.01233,True
bulb,11/22/2025,17,35.51,6.04,7.46,0.00459,True
bulb,11/22/2025,18,38.27,6.58,7.11,0.00699,True
bulb,11/22/2025,19,40.48,6.74,7.74,0.01177,True
bulb,11/22/2025,20,40.59,6.87,7.24,0.01285,True
bulb,11/22/2025,21,33.32,6.46,7.25,0.0121,True
bulb,11/22/2025,22,35.54,6.82,5.39,0.01251,True
bulb,11/22/2025,23,41.48,6.42,7.29,0.00654,True
bulb,11/21/2025,0,35.36,6.12,8.81,0.01186,True
bulb,11/21/2025,1,38.62,6.42,6.04,0.00504,True
bulb,11/21/2025,2,40.37,6.11,6.28,0.00915,True
bulb,11/21/2025,3,41.7,6.34,7.8,0.00516,True
bulb,11/21/2025,4,40.59,6.04,6.6,0.00471,True
bulb,11/21/2025,5,36.18,6.16,6.09,0.0091,True
bulb,11/21/2025,6,41.73,6.75,8.36,0.01014,True
bulb,11/21/2025,7,38.7,6.25,5.19,0.00636,True
bulb,11/21/2025,8,36.94,6.39,6.24,0.00462,True
bulb,11/21/2025,9,37.98,5.97,5.62,0.00798,True
bulb,11/21/2025,10,37.07,6.2,6.3,0.01126,True
bulb,11/21/2025,11,33.23,6.34,5.96,0.00828,True
bulb,11/21/2025,12,39.51,6.46,6.93,0.00486,True
bulb,11/21/2025,13,38.28,6.1,6.97,0.00663,True
bulb,11/21/2025,14,41.75,6.06,5.99,0.00475,True
bulb,11/21/2025,15,33.54,5.95,8.01,0.00618,True
bulb,11/21/2025,16,38.03,6.39,5.75,0.00978,True
bulb,11/21/2025,17,35.5,6.87,7.45,0.00665,True
bulb,11/21/2025,18,35.82,6.62,6.21,0.00488,True
bulb,11/21/2025,19,41.45,6.86,7.38,0.00935,True
bulb,11/21/2025,20,41.21,6.27,6.91,0.0085,True
bulb,11/21/2025,21,39.73,6.09,8.54,0.00476,True
bulb,11/21/2025,22,36.66,6.61,6.11,0.01365,True
bulb,11/21/2025,23,41.58,6.42,8.3,0.01317,True
bulb,11/20/2025,0,32.92,6.11,7.34,0.00595,True
bulb,11/20/2025,1,41.56,5.91,6.88,0.00876,True
bulb,11/20/2025,2,38.92,6.37,6.0,0.00752,True
bulb,11/20/2025,3,33.66,6.23,6.97,0.00664,True
